Col,Col2,Label,Kind,KOMOKU_CD,SYOKEN_CD,SYOKEN_CD2,Note
2,,受付番号,KENNO,,,,実フォーム(ヘッダなし100列版)で確認済み
3,,受診日,KENYMD,,,,2026/07/02形式
17,,身長,VALUE,001211,,,
18,,体重,VALUE,001212,,,
20,,腹囲,VALUE,001215,,,
23,,視力(裸眼右),VALUE,067012,,,
24,,視力(裸眼左),VALUE,067013,,,
25,,視力(矯正右),VALUE,067018,,,
26,,視力(矯正左),VALUE,067019,,,
27,,血圧(収縮期),VALUE,001253,,,
28,,血圧(拡張期),VALUE,001254,,,
29,,血圧(収縮期2回目),VALUE,001255,,,列位置は推定(両名とも空欄)。初回プレビューで確認
30,,血圧(拡張期2回目),VALUE,001256,,,
31,,聴力(右1000Hz),CHORYOKU,067132,,,列31-34=聴力は推定。値1=所見なし/2=所見あり。初回プレビューで要確認
32,,聴力(右4000Hz),CHORYOKU,067133,,,
33,,聴力(左1000Hz),CHORYOKU,067134,,,
34,,聴力(左4000Hz),CHORYOKU,067135,,,
,,尿蛋白,NYOU,069206,,,列40/41が候補(値1/2のコード)。コードの意味確認後にColとvalue_mapを設定
,,尿糖,NYOU,069207,,,
,,尿潜血,NYOU,069211,,,
46,,内科診察(コード),SHOKENCD,017101A,SHIN,,増渕・大五とも値1=異常なし
49,,眼底所見右(コード),SHOKENCD,067052,GANTEI,,値2=眼底異常なし。列位置は初回プレビューで要確認
,,眼底所見左(コード),SHOKENCD,067053,GANTEI,,列50が候補だが値1=眼底異常となり不自然なため保留
72,,問診01,VALUE,084001,,,実フォーム72-93列で確認済み
73,,問診02,VALUE,084002,,,
74,,問診03,VALUE,084003,,,
75,,問診04,VALUE,084004,,,
76,,問診05,VALUE,084005,,,
77,,問診06,VALUE,084006,,,
78,,問診07,VALUE,084007,,,
79,,問診08,VALUE,084008,,,
80,,問診09,VALUE,084009,,,
81,,問診10,VALUE,084010,,,
82,,問診11,VALUE,084011,,,
83,,問診12,VALUE,084012,,,
84,,問診13,VALUE,084013,,,
85,,問診14,VALUE,084014,,,
86,,問診15,VALUE,084015,,,
87,,問診16,VALUE,084016,,,
88,,問診17,VALUE,084017,,,
89,,問診18,VALUE,084018,,,
90,,問診19,VALUE,084019,,,
91,,問診20,VALUE,084020,,,
92,,問診21,VALUE,084021,,,
93,,問診22,VALUE,084022,,,
97,96,胸部X線(所見CD+部位CD),SHOKENCD2,077010A,ZK020,ZK021,97=所見CD(H01/G05等)/96=部位CD(AO等・空欄可)。確認済み
100,,胸部X線判定,IGNORE,,,,判定は自動判定で計算
